player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form
2747,Hugo Vallejo,Piast Gliwice,Pomocnik,42,1.8,23.33,8%,https://fantasy.ekstraklasa.org/player/2747,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 14, 'p': True}, {'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
633,Mateusz Wdowiak,GKS Katowice,Pomocnik,40,1.8,22.22,4%,https://fantasy.ekstraklasa.org/player/633,"[{'r': 24, 'pts': 4, 'p': True}, {'r': 25, 'pts': 9, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2424,Bartosz Wolski,Motor Lublin,Pomocnik,40,1.9,21.05,6%,https://fantasy.ekstraklasa.org/player/2424,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 8, 'p': True}, {'r': 26, 'pts': 4, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2450,Ivan Brkić,Motor Lublin,Bramkarz,40,1.9,21.05,6%,https://fantasy.ekstraklasa.org/player/2450,"[{'r': 24, 'pts': 5, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
563,Marcin Wasielewski,GKS Katowice,Obrońca,39,1.9,20.53,13%,https://fantasy.ekstraklasa.org/player/563,"[{'r': 24, 'pts': 6, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2408,Rifet Kapić,Lechia Gdańsk,Pomocnik,39,1.9,20.53,2%,https://fantasy.ekstraklasa.org/player/2408,"[{'r': 24, 'pts': 10, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 8, 'p': True}, {'r': 28, 'pts': 2, 'p': True}]"
2794,Lukáš Sadílek,Górnik Zabrze,Pomocnik,39,1.8,21.67,2%,https://fantasy.ekstraklasa.org/player/2794,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 14, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
130,Jasmin Burić,Zagłębie Lubin,Bramkarz,38,1.8,21.11,16%,https://fantasy.ekstraklasa.org/player/130,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 3, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
184,Rafał Wolski,Radomiak Radom,Pomocnik,38,2.2,17.27,4%,https://fantasy.ekstraklasa.org/player/184,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 5, 'p': True}, {'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
765,Jesús Imaz,Jagiellonia Białystok,Pomocnik,38,4.2,9.05,24%,https://fantasy.ekstraklasa.org/player/765,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 7, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1192,Erik Janža,Górnik Zabrze,Obrońca,38,2.2,17.27,28%,https://fantasy.ekstraklasa.org/player/1192,"[{'r': 24, 'pts': 5, 'p': True}, {'r': 25, 'pts': 7, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1475,Mikael Ishak,Lech Poznań,Napastnik,38,4.1,9.27,28%,https://fantasy.ekstraklasa.org/player/1475,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 8, 'p': True}, {'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2481,Ajdin Hasić,Cracovia,Pomocnik,38,2.1,18.1,7%,https://fantasy.ekstraklasa.org/player/2481,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 7, 'p': True}, {'r': 26, 'pts': 9, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
